 # t     Ep     Ec     Et
   46.7999992      -3.61516094E-03   4.20948029       4.20586491    
   46.9000015      -3.60725494E-03   4.20947218       4.20586491    
   47.0000000      -3.59938503E-03   4.20946455       4.20586538    
   47.1000023      -3.59155145E-03   4.20945692       4.20586538    
   47.2000008      -3.58375348E-03   4.20944881       4.20586491    
   47.2999992      -3.57599137E-03   4.20944118       4.20586538    
   47.4000015      -3.56826489E-03   4.20943356       4.20586538    
   47.5000000      -3.56057356E-03   4.20942545       4.20586491    
   47.6000023      -3.55291762E-03   4.20941782       4.20586491    
   47.7000008      -3.54529661E-03   4.20941019       4.20586491    
   47.7999992      -3.53771029E-03   4.20940256       4.20586491    
   47.9000015      -3.53015866E-03   4.20939541       4.20586538    
   48.0000000      -3.52264126E-03   4.20938778       4.20586491    
   48.1000023      -3.51515831E-03   4.20938015       4.20586491    
   48.2000008      -3.50770890E-03   4.20937252       4.20586491    
   48.2999992      -3.50029347E-03   4.20936537       4.20586491    
   48.4000015      -3.49291135E-03   4.20935774       4.20586491    
   48.5000000      -3.48556251E-03   4.20935059       4.20586491    
   48.6000023      -3.47824651E-03   4.20934343       4.20586538    
   48.7000008      -3.47096310E-03   4.20933580       4.20586491    
   48.7999992      -3.46371182E-03   4.20932865       4.20586491    
   48.9000015      -3.45649244E-03   4.20932150       4.20586491    
   49.0000000      -3.44930450E-03   4.20931435       4.20586491    
   49.1000023      -3.44214728E-03   4.20930719       4.20586491    
   49.2000008      -3.43502103E-03   4.20930004       4.20586491    
   49.2999992      -3.42792436E-03   4.20929289       4.20586491    
   49.4000015      -3.42085725E-03   4.20928574       4.20586491    
   49.5000000      -3.41381901E-03   4.20927858       4.20586491    
   49.6000023      -3.40680871E-03   4.20927143       4.20586443    
   49.7000008      -3.39982612E-03   4.20926476       4.20586491    
   49.7999992      -3.39287007E-03   4.20925760       4.20586491    
   49.9000015      -3.38594010E-03   4.20925093       4.20586491    
   50.0000000      -3.37903528E-03   4.20924377       4.20586491    
   50.1000023      -3.37215490E-03   4.20923710       4.20586491    
   50.2000008      -3.36529850E-03   4.20923042       4.20586491    
   50.2999992      -3.35846469E-03   4.20922327       4.20586491    
   50.4000015      -3.35165346E-03   4.20921659       4.20586491    
   50.5000000      -3.34486389E-03   4.20920992       4.20586491    
   50.6000023      -3.33809550E-03   4.20920277       4.20586491    
   50.7000008      -3.33134760E-03   4.20919609       4.20586491    
   50.7999992      -3.32462019E-03   4.20918941       4.20586491    
   50.9000015      -3.31791327E-03   4.20918274       4.20586491    
   51.0000000      -3.31122614E-03   4.20917606       4.20586491    
   51.1000023      -3.30455950E-03   4.20916939       4.20586491    
   51.2000008      -3.29791289E-03   4.20916271       4.20586491    
   51.2999992      -3.29128699E-03   4.20915604       4.20586491    
   51.4000015      -3.28468182E-03   4.20914936       4.20586491    
   51.5000000      -3.27809760E-03   4.20914268       4.20586443    
   51.6000023      -3.27153504E-03   4.20913649       4.20586491    
   51.7000008      -3.26499459E-03   4.20912981       4.20586491    
   51.7999992      -3.25847673E-03   4.20912313       4.20586443    
   51.9000015      -3.25198169E-03   4.20911694       4.20586491    
   52.0000000      -3.24550993E-03   4.20911026       4.20586491    
   52.1000023      -3.23906168E-03   4.20910358       4.20586443    
   52.2000008      -3.23263765E-03   4.20909739       4.20586491    
   52.2999992      -3.22623784E-03   4.20909119       4.20586491    
   52.4000015      -3.21986247E-03   4.20908451       4.20586443    
   52.5000000      -3.21351201E-03   4.20907831       4.20586491    
   52.6000023      -3.20718670E-03   4.20907211       4.20586491    
   52.7000008      -3.20088631E-03   4.20906544       4.20586443    
   52.7999992      -3.19461129E-03   4.20905924       4.20586443    
   52.9000015      -3.18836141E-03   4.20905304       4.20586491    
   53.0000000      -3.18213645E-03   4.20904684       4.20586491    
   53.1000023      -3.17593710E-03   4.20904064       4.20586491    
   53.2000008      -3.16976290E-03   4.20903444       4.20586491    
   53.2999992      -3.16361361E-03   4.20902824       4.20586443    
   53.4000015      -3.15748970E-03   4.20902205       4.20586443    
   53.5000000      -3.15139047E-03   4.20901632       4.20586491    
   53.6000023      -3.14531638E-03   4.20901012       4.20586491    
   53.7000008      -3.13926674E-03   4.20900393       4.20586443    
   53.7999992      -3.13324179E-03   4.20899773       4.20586443    
   53.9000015      -3.12724127E-03   4.20899200       4.20586491    
   54.0000000      -3.12126498E-03   4.20898581       4.20586443    
   54.1000023      -3.11531289E-03   4.20898008       4.20586491    
   54.2000008      -3.10938479E-03   4.20897388       4.20586443    
   54.2999992      -3.10348067E-03   4.20896816       4.20586491    
   54.4000015      -3.09760007E-03   4.20896244       4.20586491    
   54.5000000      -3.09174298E-03   4.20895624       4.20586443    
   54.6000023      -3.08590918E-03   4.20895052       4.20586443    
   54.7000008      -3.08009866E-03   4.20894480       4.20586491    
   54.7999992      -3.07431119E-03   4.20893908       4.20586491    
   54.9000015      -3.06854653E-03   4.20893335       4.20586491    
   55.0000000      -3.06280446E-03   4.20892715       4.20586443    
   55.1000023      -3.05708498E-03   4.20892143       4.20586443    
   55.2000008      -3.05138808E-03   4.20891571       4.20586443    
   55.2999992      -3.04571306E-03   4.20891047       4.20586491    
   55.4000015      -3.04006017E-03   4.20890474       4.20586491    
   55.5000000      -3.03442939E-03   4.20889902       4.20586443    
   55.6000023      -3.02882027E-03   4.20889330       4.20586443    
   55.7000008      -3.02323257E-03   4.20888758       4.20586443    
   55.7999992      -3.01766675E-03   4.20888233       4.20586443    
   55.9000015      -3.01212189E-03   4.20887661       4.20586443    
   56.0000000      -3.00659845E-03   4.20887089       4.20586443    
   56.1000023      -3.00109596E-03   4.20886564       4.20586443    
   56.2000008      -2.99561443E-03   4.20885992       4.20586443    
   56.2999992      -2.99015362E-03   4.20885468       4.20586443    
   56.4000015      -2.98471330E-03   4.20884895       4.20586443    
   56.5000000      -2.97929370E-03   4.20884371       4.20586443    
   56.6000023      -2.97389436E-03   4.20883846       4.20586443    
   56.7000008      -2.96851504E-03   4.20883274       4.20586443    
   56.7999992      -2.96315621E-03   4.20882750       4.20586443    
   56.9000015      -2.95781717E-03   4.20882225       4.20586443    
   57.0000000      -2.95249792E-03   4.20881701       4.20586443    
   57.1000023      -2.94719869E-03   4.20881176       4.20586443    
   57.2000008      -2.94191879E-03   4.20880651       4.20586443    
   57.2999992      -2.93665845E-03   4.20880127       4.20586443    
   57.4000015      -2.93141743E-03   4.20879602       4.20586443    
   57.5000000      -2.92619574E-03   4.20879078       4.20586443    
   57.6000023      -2.92099337E-03   4.20878553       4.20586443    
   57.7000008      -2.91580963E-03   4.20878029       4.20586443    
   57.7999992      -2.91064521E-03   4.20877504       4.20586443    
   57.9000015      -2.90549919E-03   4.20876980       4.20586443    
   58.0000000      -2.90037226E-03   4.20876455       4.20586395    
   58.1000023      -2.89526372E-03   4.20875978       4.20586443    
   58.2000008      -2.89017358E-03   4.20875454       4.20586443    
   58.2999992      -2.88510206E-03   4.20874929       4.20586443    
   58.4000015      -2.88004871E-03   4.20874453       4.20586443    
   58.5000000      -2.87501328E-03   4.20873928       4.20586443    
   58.6000023      -2.86999624E-03   4.20873451       4.20586443    
   58.7000008      -2.86499690E-03   4.20872927       4.20586443    
   58.7999992      -2.86001549E-03   4.20872450       4.20586443    
   58.9000015      -2.85505177E-03   4.20871925       4.20586443    
   59.0000000      -2.85010575E-03   4.20871449       4.20586443    
   59.1000023      -2.84517743E-03   4.20870924       4.20586395    
   59.2000008      -2.84026633E-03   4.20870447       4.20586443    
   59.2999992      -2.83537270E-03   4.20869970       4.20586443    
   59.4000015      -2.83049652E-03   4.20869446       4.20586395    
   59.5000000      -2.82563735E-03   4.20868969       4.20586395    
   59.6000023      -2.82079517E-03   4.20868492       4.20586395    
   59.7000008      -2.81596999E-03   4.20868015       4.20586395    
   59.7999992      -2.81116203E-03   4.20867538       4.20586443    
   59.9000015      -2.80637061E-03   4.20867062       4.20586443    
   60.0000000      -2.80159595E-03   4.20866585       4.20586443    
   60.1000023      -2.79683806E-03   4.20866108       4.20586443    
   60.2000008      -2.79209646E-03   4.20865631       4.20586443    
   60.2999992      -2.78737140E-03   4.20865154       4.20586395    
   60.4000015      -2.78266286E-03   4.20864677       4.20586395    
   60.5000000      -2.77797040E-03   4.20864201       4.20586395    
   60.6000023      -2.77329423E-03   4.20863724       4.20586395    
   60.7000008      -2.76863412E-03   4.20863247       4.20586395    
   60.7999992      -2.76399031E-03   4.20862818       4.20586395    
   60.9000015      -2.75936211E-03   4.20862341       4.20586395    
   61.0000000      -2.75474996E-03   4.20861864       4.20586395    
   61.1000023      -2.75015365E-03   4.20861435       4.20586443    
   61.2000008      -2.74557294E-03   4.20860958       4.20586395    
   61.2999992      -2.74100783E-03   4.20860481       4.20586395    
   61.4000015      -2.73645832E-03   4.20860052       4.20586395    
   61.5000000      -2.73192418E-03   4.20859575       4.20586395    
   61.6000023      -2.72740540E-03   4.20859146       4.20586395    
   61.7000008      -2.72290222E-03   4.20858669       4.20586395    
   61.7999992      -2.71841395E-03   4.20858240       4.20586395    
   61.9000015      -2.71394104E-03   4.20857811       4.20586395    
   62.0000000      -2.70948326E-03   4.20857334       4.20586395    
   62.1000023      -2.70504039E-03   4.20856905       4.20586395    
   62.2000008      -2.70061241E-03   4.20856476       4.20586395    
   62.2999992      -2.69619934E-03   4.20855999       4.20586395    
   62.4000015      -2.69180094E-03   4.20855570       4.20586395    
   62.5000000      -2.68741744E-03   4.20855141       4.20586395    
   62.6000023      -2.68304860E-03   4.20854712       4.20586395    
   62.7000008      -2.67869420E-03   4.20854282       4.20586395    
   62.7999992      -2.67435424E-03   4.20853806       4.20586348    
   62.9000015      -2.67002895E-03   4.20853376       4.20586395    
   63.0000000      -2.66571809E-03   4.20852947       4.20586395    
   63.1000023      -2.66142120E-03   4.20852518       4.20586395    
   63.2000008      -2.65713874E-03   4.20852089       4.20586395    
   63.2999992      -2.65287026E-03   4.20851660       4.20586395    
   63.4000015      -2.64861598E-03   4.20851231       4.20586348    
   63.5000000      -2.64437590E-03   4.20850801       4.20586348    
   63.6000023      -2.64014956E-03   4.20850420       4.20586395    
   63.7000008      -2.63593718E-03   4.20849991       4.20586395    
   63.7999992      -2.63173855E-03   4.20849562       4.20586395    
   63.9000015      -2.62755388E-03   4.20849133       4.20586395    
   64.0000000      -2.62338272E-03   4.20848703       4.20586348    
   64.0999985      -2.61922530E-03   4.20848322       4.20586395    
   64.2000046      -2.61508138E-03   4.20847893       4.20586395    
   64.3000031      -2.61095120E-03   4.20847464       4.20586348    
   64.4000015      -2.60683405E-03   4.20847082       4.20586395    
   64.5000000      -2.60273064E-03   4.20846653       4.20586395    
   64.5999985      -2.59864028E-03   4.20846224       4.20586348    
   64.7000046      -2.59456341E-03   4.20845842       4.20586395    
   64.8000031      -2.59049959E-03   4.20845413       4.20586348    
   64.9000015      -2.58644880E-03   4.20845032       4.20586395    
   65.0000000      -2.58241128E-03   4.20844603       4.20586348    
   65.0999985      -2.57838657E-03   4.20844221       4.20586395    
   65.2000046      -2.57437513E-03   4.20843792       4.20586348    
   65.3000031      -2.57037627E-03   4.20843410       4.20586395    
   65.4000015      -2.56639044E-03   4.20843029       4.20586395    
   65.5000000      -2.56241742E-03   4.20842600       4.20586348    
   65.5999985      -2.55845697E-03   4.20842218       4.20586395    
   65.7000046      -2.55450909E-03   4.20841837       4.20586395    
   65.8000031      -2.55057402E-03   4.20841408       4.20586348    
   65.9000015      -2.54665129E-03   4.20841026       4.20586348    
   66.0000000      -2.54274113E-03   4.20840645       4.20586348    
   66.0999985      -2.53884331E-03   4.20840263       4.20586395    
   66.2000046      -2.53495784E-03   4.20839882       4.20586395    
   66.3000031      -2.53108493E-03   4.20839500       4.20586395    
   66.4000015      -2.52722390E-03   4.20839071       4.20586348    
   66.5000000      -2.52337544E-03   4.20838690       4.20586348    
   66.5999985      -2.51953886E-03   4.20838308       4.20586348    
   66.7000046      -2.51571438E-03   4.20837927       4.20586348    
   66.8000031      -2.51190178E-03   4.20837545       4.20586348    
   66.9000015      -2.50810129E-03   4.20837164       4.20586348    
   67.0000000      -2.50431267E-03   4.20836782       4.20586348    
   67.0999985      -2.50053592E-03   4.20836401       4.20586348    
   67.2000046      -2.49677082E-03   4.20836067       4.20586395    
   67.3000031      -2.49301759E-03   4.20835686       4.20586395    
   67.4000015      -2.48927600E-03   4.20835304       4.20586395    
   67.5000000      -2.48554605E-03   4.20834923       4.20586348    
   67.5999985      -2.48182728E-03   4.20834541       4.20586348    
   67.7000046      -2.47812015E-03   4.20834160       4.20586348    
   67.8000031      -2.47442466E-03   4.20833826       4.20586395    
   67.9000015      -2.47074035E-03   4.20833445       4.20586348    
   68.0000000      -2.46706721E-03   4.20833063       4.20586348    
   68.0999985      -2.46340549E-03   4.20832729       4.20586395    
   68.2000046      -2.45975493E-03   4.20832348       4.20586395    
   68.3000031      -2.45611533E-03   4.20831966       4.20586348    
   68.4000015      -2.45248689E-03   4.20831633       4.20586395    
   68.5000000      -2.44886940E-03   4.20831251       4.20586348    
   68.5999985      -2.44526262E-03   4.20830917       4.20586395    
   68.7000046      -2.44166702E-03   4.20830536       4.20586348    
   68.8000031      -2.43808189E-03   4.20830154       4.20586348    
   68.9000015      -2.43450771E-03   4.20829821       4.20586348    
   69.0000000      -2.43094401E-03   4.20829439       4.20586348    
   69.0999985      -2.42739101E-03   4.20829105       4.20586348    
   69.2000046      -2.42384872E-03   4.20828772       4.20586395    
   69.3000031      -2.42031668E-03   4.20828390       4.20586348    
   69.4000015      -2.41679489E-03   4.20828056       4.20586395    
   69.5000000      -2.41328357E-03   4.20827675       4.20586348    
   69.5999985      -2.40978249E-03   4.20827341       4.20586348    
   69.7000046      -2.40629143E-03   4.20827007       4.20586395    
   69.8000031      -2.40281038E-03   4.20826626       4.20586348    
   69.9000015      -2.39933957E-03   4.20826292       4.20586348    
   70.0000000      -2.39587855E-03   4.20825958       4.20586348    
   70.0999985      -2.39242753E-03   4.20825624       4.20586395    
   70.2000046      -2.38898629E-03   4.20825243       4.20586348    
   70.3000031      -2.38555460E-03   4.20824909       4.20586348    
   70.4000015      -2.38213269E-03   4.20824575       4.20586348    
   70.5000000      -2.37872032E-03   4.20824242       4.20586348    
   70.5999985      -2.37531750E-03   4.20823908       4.20586395    
   70.7000046      -2.37192423E-03   4.20823526       4.20586348    
   70.8000031      -2.36854027E-03   4.20823193       4.20586348    
   70.9000015      -2.36516562E-03   4.20822859       4.20586348    
   71.0000000      -2.36180006E-03   4.20822525       4.20586348    
   71.0999985      -2.35844380E-03   4.20822191       4.20586348    
   71.2000046      -2.35509663E-03   4.20821857       4.20586348    
   71.3000031      -2.35175854E-03   4.20821524       4.20586348    
   71.4000015      -2.34842929E-03   4.20821190       4.20586348    
   71.5000000      -2.34510913E-03   4.20820856       4.20586348    
   71.5999985      -2.34179781E-03   4.20820522       4.20586348    
   71.7000046      -2.33849534E-03   4.20820189       4.20586348    
   71.8000031      -2.33520148E-03   4.20819855       4.20586348    
   71.9000015      -2.33191624E-03   4.20819569       4.20586395    
   72.0000000      -2.32863985E-03   4.20819235       4.20586348    
   72.0999985      -2.32537184E-03   4.20818901       4.20586348    
   72.2000046      -2.32211268E-03   4.20818567       4.20586348    
   72.3000031      -2.31886166E-03   4.20818233       4.20586348    
   72.4000015      -2.31561949E-03   4.20817900       4.20586348    
   72.5000000      -2.31238548E-03   4.20817614       4.20586395    
   72.5999985      -2.30916007E-03   4.20817280       4.20586348    
   72.7000046      -2.30594282E-03   4.20816946       4.20586348    
   72.8000031      -2.30273418E-03   4.20816612       4.20586348    
   72.9000015      -2.29953369E-03   4.20816326       4.20586395    
   73.0000000      -2.29634135E-03   4.20815992       4.20586348    
   73.0999985      -2.29315739E-03   4.20815659       4.20586348    
   73.2000046      -2.28998181E-03   4.20815325       4.20586348    
   73.3000031      -2.28681415E-03   4.20815039       4.20586348    
   73.4000015      -2.28365487E-03   4.20814705       4.20586348    
   73.5000000      -2.28050374E-03   4.20814419       4.20586348    
   73.5999985      -2.27736076E-03   4.20814085       4.20586348    
   73.7000046      -2.27422616E-03   4.20813751       4.20586348    
   73.8000031      -2.27109948E-03   4.20813465       4.20586348    
   73.9000015      -2.26798095E-03   4.20813131       4.20586348    
   74.0000000      -2.26487056E-03   4.20812845       4.20586348    
   74.0999985      -2.26176833E-03   4.20812511       4.20586348    
   74.2000046      -2.25867424E-03   4.20812225       4.20586348    
   74.3000031      -2.25558830E-03   4.20811892       4.20586348    
   74.4000015      -2.25251028E-03   4.20811605       4.20586348    
   74.5000000      -2.24944041E-03   4.20811272       4.20586348    
   74.5999985      -2.24637869E-03   4.20810986       4.20586348    
   74.7000046      -2.24332488E-03   4.20810699       4.20586348    
   74.8000031      -2.24027922E-03   4.20810366       4.20586348    
   74.9000015      -2.23724148E-03   4.20810080       4.20586348    
   75.0000000      -2.23421189E-03   4.20809746       4.20586348    
   75.0999985      -2.23119045E-03   4.20809460       4.20586348    
   75.2000046      -2.22817692E-03   4.20809174       4.20586348    
   75.3000031      -2.22517131E-03   4.20808840       4.20586300    
   75.4000015      -2.22217361E-03   4.20808554       4.20586348    
   75.5000000      -2.21918407E-03   4.20808268       4.20586348    
   75.5999985      -2.21620244E-03   4.20807981       4.20586348    
   75.7000046      -2.21322896E-03   4.20807648       4.20586348    
   75.8000031      -2.21026316E-03   4.20807362       4.20586348    
   75.9000015      -2.20730552E-03   4.20807076       4.20586348    
   76.0000000      -2.20435555E-03   4.20806789       4.20586348    
   76.0999985      -2.20141350E-03   4.20806503       4.20586348    
   76.2000046      -2.19847937E-03   4.20806170       4.20586300    
   76.3000031      -2.19555316E-03   4.20805883       4.20586348    
   76.4000015      -2.19263486E-03   4.20805597       4.20586348    
   76.5000000      -2.18972424E-03   4.20805311       4.20586348    
   76.5999985      -2.18682131E-03   4.20805025       4.20586348    
   76.7000046      -2.18392629E-03   4.20804739       4.20586348    
   76.8000031      -2.18103896E-03   4.20804453       4.20586348    
   76.9000015      -2.17815954E-03   4.20804167       4.20586348    
   77.0000000      -2.17528758E-03   4.20803881       4.20586348    
   77.0999985      -2.17242353E-03   4.20803595       4.20586348    
   77.2000046      -2.16956693E-03   4.20803308       4.20586348    
   77.3000031      -2.16671801E-03   4.20803022       4.20586348    
   77.4000015      -2.16387678E-03   4.20802736       4.20586348    
   77.5000000      -2.16104300E-03   4.20802450       4.20586348    
   77.5999985      -2.15821690E-03   4.20802164       4.20586348    
   77.7000046      -2.15539825E-03   4.20801878       4.20586348    
   77.8000031      -2.15258729E-03   4.20801592       4.20586348    
   77.9000015      -2.14978354E-03   4.20801306       4.20586348    
   78.0000000      -2.14698748E-03   4.20801067       4.20586348    
   78.0999985      -2.14419863E-03   4.20800781       4.20586348    
   78.2000046      -2.14141724E-03   4.20800495       4.20586348    
   78.3000031      -2.13864329E-03   4.20800209       4.20586348    
   78.4000015      -2.13587680E-03   4.20799923       4.20586348    
   78.5000000      -2.13311752E-03   4.20799637       4.20586348    
   78.5999985      -2.13036546E-03   4.20799398       4.20586348    
   78.7000046      -2.12762062E-03   4.20799112       4.20586348    
   78.8000031      -2.12488323E-03   4.20798826       4.20586348    
   78.9000015      -2.12215260E-03   4.20798540       4.20586348    
   79.0000000      -2.11942964E-03   4.20798302       4.20586348    
   79.0999985      -2.11671367E-03   4.20798016       4.20586348    
   79.2000046      -2.11400469E-03   4.20797729       4.20586348    
   79.3000031      -2.11130292E-03   4.20797443       4.20586300    
   79.4000015      -2.10860814E-03   4.20797205       4.20586348    
   79.5000000      -2.10592058E-03   4.20796919       4.20586348    
   79.5999985      -2.10324000E-03   4.20796633       4.20586300    
   79.7000046      -2.10056640E-03   4.20796394       4.20586348    
   79.8000031      -2.09789956E-03   4.20796108       4.20586300    
   79.9000015      -2.09523994E-03   4.20795870       4.20586348    
   80.0000000      -2.09258706E-03   4.20795584       4.20586348    
   80.0999985      -2.08994118E-03   4.20795298       4.20586300    
   80.2000046      -2.08730227E-03   4.20795059       4.20586348    
   80.3000031      -2.08467012E-03   4.20794773       4.20586300    
   80.4000015      -2.08204472E-03   4.20794535       4.20586348    
   80.5000000      -2.07942608E-03   4.20794249       4.20586300    
   80.5999985      -2.07681418E-03   4.20794010       4.20586348    
   80.7000046      -2.07420904E-03   4.20793724       4.20586300    
   80.8000031      -2.07161065E-03   4.20793486       4.20586348    
   80.9000015      -2.06901901E-03   4.20793200       4.20586300    
   81.0000000      -2.06643413E-03   4.20792961       4.20586300    
   81.0999985      -2.06385576E-03   4.20792723       4.20586348    
   81.2000046      -2.06128415E-03   4.20792437       4.20586300    
   81.3000031      -2.05871905E-03   4.20792198       4.20586348    
   81.4000015      -2.05616048E-03   4.20791912       4.20586300    
   81.5000000      -2.05360865E-03   4.20791674       4.20586300    
   81.5999985      -2.05106311E-03   4.20791435       4.20586348    
   81.7000046      -2.04852433E-03   4.20791149       4.20586300    
   81.8000031      -2.04599183E-03   4.20790911       4.20586300    
   81.9000015      -2.04346608E-03   4.20790672       4.20586348    
   82.0000000      -2.04094662E-03   4.20790386       4.20586300    
   82.0999985      -2.03843368E-03   4.20790148       4.20586300    
   82.2000046      -2.03592703E-03   4.20789909       4.20586300    
   82.3000031      -2.03342712E-03   4.20789623       4.20586300    
   82.4000015      -2.03093328E-03   4.20789385       4.20586300    
   82.5000000      -2.02844595E-03   4.20789146       4.20586300    
   82.5999985      -2.02596490E-03   4.20788908       4.20586300    
   82.7000046      -2.02349038E-03   4.20788670       4.20586300    
   82.8000031      -2.02102191E-03   4.20788383       4.20586300    
   82.9000015      -2.01855972E-03   4.20788145       4.20586300    
   83.0000000      -2.01610406E-03   4.20787907       4.20586300    
   83.0999985      -2.01365445E-03   4.20787668       4.20586300    
   83.2000046      -2.01121112E-03   4.20787430       4.20586300    
   83.3000031      -2.00877408E-03   4.20787191       4.20586300    
   83.4000015      -2.00634310E-03   4.20786905       4.20586252    
   83.5000000      -2.00391840E-03   4.20786667       4.20586252    
   83.5999985      -2.00149999E-03   4.20786428       4.20586300    
   83.7000046      -1.99908740E-03   4.20786190       4.20586300    
   83.8000031      -1.99668109E-03   4.20785952       4.20586300    
   83.9000015      -1.99428108E-03   4.20785713       4.20586300    
   84.0000000      -1.99188688E-03   4.20785475       4.20586300    
   84.0999985      -1.98949873E-03   4.20785236       4.20586300    
   84.2000046      -1.98711688E-03   4.20784998       4.20586300    
   84.3000031      -1.98474084E-03   4.20784760       4.20586300    
   84.4000015      -1.98237086E-03   4.20784521       4.20586300    
   84.5000000      -1.98000693E-03   4.20784283       4.20586300    
   84.5999985      -1.97764882E-03   4.20784044       4.20586300    
   84.7000046      -1.97529676E-03   4.20783806       4.20586300    
   84.8000031      -1.97295076E-03   4.20783567       4.20586252    
   84.9000015      -1.97061035E-03   4.20783329       4.20586252    
   85.0000000      -1.96827599E-03   4.20783138       4.20586300    
   85.0999985      -1.96594745E-03   4.20782900       4.20586300    
   85.2000046      -1.96362473E-03   4.20782661       4.20586300    
   85.3000031      -1.96130783E-03   4.20782423       4.20586300    
   85.4000015      -1.95899652E-03   4.20782185       4.20586300    
   85.5000000      -1.95669103E-03   4.20781946       4.20586300    
   85.5999985      -1.95439137E-03   4.20781708       4.20586252    
   85.7000046      -1.95209717E-03   4.20781517       4.20586300    
   85.8000031      -1.94980856E-03   4.20781279       4.20586300    
   85.9000015      -1.94752566E-03   4.20781040       4.20586300    
   86.0000000      -1.94524834E-03   4.20780802       4.20586300    
   86.0999985      -1.94297649E-03   4.20780563       4.20586252    
   86.2000046      -1.94071012E-03   4.20780373       4.20586300    
   86.3000031      -1.93844922E-03   4.20780134       4.20586300    
   86.4000015      -1.93619367E-03   4.20779896       4.20586300    
   86.5000000      -1.93394348E-03   4.20779657       4.20586252    
   86.5999985      -1.93169864E-03   4.20779467       4.20586300    
   86.7000046      -1.92945893E-03   4.20779228       4.20586300    
   86.8000031      -1.92722445E-03   4.20778990       4.20586252    
   86.9000015      -1.92499522E-03   4.20778799       4.20586300    
   87.0000000      -1.92277099E-03   4.20778561       4.20586300    
   87.0999985      -1.92055176E-03   4.20778322       4.20586252    
   87.2000046      -1.91833754E-03   4.20778131       4.20586300    
   87.3000031      -1.91612821E-03   4.20777893       4.20586300    
   87.4000015      -1.91392377E-03   4.20777702       4.20586300    
   87.5000000      -1.91172422E-03   4.20777464       4.20586300    
   87.5999985      -1.90952921E-03   4.20777225       4.20586252    
   87.7000046      -1.90733909E-03   4.20777035       4.20586300    
   87.8000031      -1.90515339E-03   4.20776796       4.20586300    
   87.9000015      -1.90297223E-03   4.20776606       4.20586300    
   88.0000000      -1.90079561E-03   4.20776367       4.20586300    
   88.0999985      -1.89862330E-03   4.20776129       4.20586252    
   88.2000046      -1.89645542E-03   4.20775938       4.20586300    
   88.3000031      -1.89429172E-03   4.20775700       4.20586252    
   88.4000015      -1.89213234E-03   4.20775509       4.20586300    
   88.5000000      -1.88997691E-03   4.20775270       4.20586252    
   88.5999985      -1.88782567E-03   4.20775080       4.20586300    
   88.7000046      -1.88567850E-03   4.20774841       4.20586252    
   88.8000031      -1.88353530E-03   4.20774651       4.20586300    
   88.9000015      -1.88139593E-03   4.20774412       4.20586252    
   89.0000000      -1.87926053E-03   4.20774221       4.20586300    
   89.0999985      -1.87712896E-03   4.20773983       4.20586252    
   89.2000046      -1.87500112E-03   4.20773792       4.20586300    
   89.3000031      -1.87287689E-03   4.20773602       4.20586300    
   89.4000015      -1.87075650E-03   4.20773363       4.20586300    
   89.5000000      -1.86863984E-03   4.20773172       4.20586300    
   89.5999985      -1.86652679E-03   4.20772934       4.20586300    
   89.7000046      -1.86441734E-03   4.20772743       4.20586300    
   89.8000031      -1.86231162E-03   4.20772505       4.20586252    
   89.9000015      -1.86020951E-03   4.20772314       4.20586300    
   90.0000000      -1.85811101E-03   4.20772123       4.20586300    
   90.0999985      -1.85601611E-03   4.20771885       4.20586300    
   90.2000046      -1.85392483E-03   4.20771694       4.20586300    
   90.3000031      -1.85183727E-03   4.20771503       4.20586300    
   90.4000015      -1.84975332E-03   4.20771265       4.20586300    
   90.5000000      -1.84767297E-03   4.20771074       4.20586300    
   90.5999985      -1.84559647E-03   4.20770884       4.20586348    
   90.7000046      -1.84352358E-03   4.20770645       4.20586300    
   90.8000031      -1.84145442E-03   4.20770454       4.20586300    
   90.9000015      -1.83938909E-03   4.20770264       4.20586348    
   91.0000000      -1.83732761E-03   4.20770025       4.20586300    
   91.0999985      -1.83526997E-03   4.20769835       4.20586300    
   91.2000046      -1.83321617E-03   4.20769644       4.20586300    
   91.3000031      -1.83116645E-03   4.20769453       4.20586348    
   91.4000015      -1.82912056E-03   4.20769215       4.20586300    
   91.5000000      -1.82707864E-03   4.20769024       4.20586300    
   91.5999985      -1.82504079E-03   4.20768833       4.20586348    
   91.7000046      -1.82300701E-03   4.20768595       4.20586300    
   91.8000031      -1.82097731E-03   4.20768404       4.20586300    
   91.9000015      -1.81895180E-03   4.20768213       4.20586300    
   92.0000000      -1.81693037E-03   4.20768023       4.20586348    
   92.0999985      -1.81491312E-03   4.20767832       4.20586348    
   92.2000046      -1.81290018E-03   4.20767593       4.20586300    
   92.3000031      -1.81089144E-03   4.20767403       4.20586300    
   92.4000015      -1.80888688E-03   4.20767212       4.20586300    
   92.5000000      -1.80688663E-03   4.20767021       4.20586348    
   92.5999985      -1.80489081E-03   4.20766830       4.20586348    
   92.7000046      -1.80289918E-03   4.20766592       4.20586300    
   92.8000031      -1.80091197E-03   4.20766401       4.20586300    
   92.9000015      -1.79892918E-03   4.20766211       4.20586300    
   93.0000000      -1.79695070E-03   4.20766020       4.20586348    
   93.0999985      -1.79497653E-03   4.20765829       4.20586348    
   93.2000046      -1.79300690E-03   4.20765638       4.20586348    
   93.3000031      -1.79104158E-03   4.20765448       4.20586348    
